,Responsable,,Aprobador,,Soporte 1,,Soporte 2,,Soporte 3,,Soporte 4,,Soporte 5,,Soporte 6,,Consultado 1,,Consultado 2,,Consultado 3,,Consultado 4,,Consultado 5,,Consultado 6,,Consultado 7,,Consultado 8,,Informado 1,,Informado 2,,Informado 3,,Informado 4,,Informado 5,,Informado 6,,,,
DAF-25,DAF,INSG,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DAF-26,DAF,INSG,,,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-6,DPAC,PCI,DPAC,DPAC,DAF,FIN,DPAC,AC,DPAC,AI,DPAC,TGI,SG ,JUR,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-7,DPAC,PCI,DPAC,DPAC,DAF,DP,DAF,ADQ,DPAC,AI,DVCM,COM,SG ,JUR,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-8,DPAC,PCI,DPAC,DPAC,DPAC,AI,DPAC,AC,DVCM,COM,,,,,,,DPAC,DPAC,DAF,DAF,DI,DI ,SG-DVCM-REC,,DPTO,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-9,DPAC,PCI,DPAC,DPAC,DPAC,AI,DPAC,AC,DVCM,COM,,,,,,,DPAC,AC,DAF,DAF,,,,,ESTRATEGICO,DPTOS,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-10,DPAC,PCI,REC,GAB,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-11,DPAC,PCI,DPAC,DPAC,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,DAF,,DAC,EPRE,DAC,EPYEC,,,CARRERA,DPTOS,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-12,DPAC,PCI,DPAC,DPAC,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-13,DPAC,AC,REC,REC,DPAC,DPAC,DAC,DAC,DAF,DAF,,,,,,,DPAC,AI,DAC,DAC,DI,DI ,DVCM,DVCM,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-14,DPAC,AC,DPAC,DPAC,DPAC,PCI,DPAC,TGI,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,REC,REC,,,,,,,,,,,,,
DPAC-15,DPAC,AC,DPAC,DPAC,,,DAC,EPRE,DAF,FIN,DAF,ADQ,,,,,REC,EG,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DPAC,PCI,,,,,,,,,,,,,
DPAC-16,DPAC,AI,DAC,DE,DAC,DE,DI,DI ,DAF,DP,DPAC,TGI,,,,,DAF,DAF,DAC,SA,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-17,DPAC,AI,DAC,DAC,DPAC,PCI,DAC,DE,DAC,DAC,,,,,,,DAF,DAF,DVCM,DVCM,DCNT,DCNT,DCS,DCS,DCSH,DCSH,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-18,DPAC,AI,DPAC,DPAC,DPAC,TGI,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,REC,REC,,,,,,,,,,,,,
DPAC-19,DPAC,AI,DPAC,AI,DPAC,TGI,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,DAC,DAC,,,,,,,,,,,,,
DPAC-20,DPAC,TGI,DPAC,TGI,DPAC,AC,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-21,DPAC,TGI,DPAC,TGI,DPAC,AC,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
DPAC-22,DPAC,TGI,DPAC,TGI,,,,,,,,,,,,,,,,,,,,,,,DPAC,TGI,DPAC,AC,DPAC,AI,,,,,,,,,,,,,,,
